id,code,ep_next,ep_this,first_name,points_per_game,second_name,squad_number,total_points,web_name,team_join_date,birth_date,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,points_per_game_rank,starts_per_90,clean_sheets_per_90,position,team_name,team_short_name
11,198869,3.8,,Benjamin,2.9,White,,50,White,2021-07-30,1997-10-08,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100.0,51.0,0,13,0.46,1.3,1.76,16.88,225,197,222,237,,,,0.03,0.0,0.1,0.13,1.27,0.98,142,0.98,0.38,DEF,Arsenal,ARS
12,206325,3.1,,Oleksandr,2.7,Zinchenko,,40,Zinchenko,2022-07-22,1996-12-15,518,0,1,4,1,0,0,0,1,0,0,2,141,83.4,92.8,66.0,24.1,0,5,0.65,0.52,1.17,3.21,312,243,250,294,,,,0.11,0.0,0.09,0.2,0.56,0.17,167,0.87,0.69,DEF,Arsenal,ARS
13,563324,1.5,,Brayden,0.0,Clarke,,0,Clarke,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,473,464,438,473,,,,0.0,0.0,0.0,0.0,0.0,0.0,476,0.0,0.0,DEF,Arsenal,ARS
14,588793,1.5,,Maldini,0.0,Kacurri,,0,Kacurri,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,479,470,446,479,,,,0.0,0.0,0.0,0.0,0.0,0.0,482,0.0,0.0,DEF,Arsenal,ARS
15,499167,1.5,,Josh,0.0,Nichols,,0,Nichols,2024-07-24,2006-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,454,444,415,454,,,,0.0,0.0,0.0,0.0,0.0,0.0,458,0.0,0.0,DEF,Arsenal,ARS
16,223340,3.5,,Bukayo,5.1,Saka,,127,Saka,2018-11-28,2001-09-05,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,0,20,6.87,7.78,14.65,17.72,87,16,23,14,1.0,4.0,1.0,0.36,0.0,0.41,0.77,0.93,1.1,11,1.04,0.37,MID,Arsenal,ARS
17,184029,3.1,,Martin,3.9,Ødegaard,,116,Ødegaard,2021-08-20,1998-12-17,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,0,26,4.85,6.68,11.53,22.16,113,7,63,32,3.0,2.0,2.0,0.19,0.0,0.26,0.45,0.86,0.81,56,1.01,0.43,MID,Arsenal,ARS
18,248857,2.8,,Noni,3.8,Madueke,,120,Madueke,2025-07-18,2002-03-10,2028,7,5,6,28,0,0,0,3,0,0,12,425,479.2,475.1,998.0,195.3,0,27,9.62,2.86,12.48,29.55,130,73,11,37,,,,0.43,0.0,0.13,0.56,1.31,1.24,63,1.2,0.27,MID,Arsenal,ARS
19,444145,2.8,,Gabriel,3.8,Martinelli Silva,,125,Martinelli,2019-07-15,2001-06-18,2284,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912.0,206.1,0,25,7.13,4.46,11.59,26.22,103,51,16,26,,,,0.28,0.0,0.18,0.46,1.03,0.99,64,0.99,0.39,MID,Arsenal,ARS
20,116216,2.8,,Leandro,4.0,Trossard,,152,Trossard,2023-01-20,1994-12-04,2546,8,8,11,27,0,0,0,2,1,0,18,561,609.0,617.6,798.0,202.1,0,28,6.74,4.12,10.86,24.76,84,49,25,29,,,4.0,0.24,0.0,0.15,0.39,0.88,0.95,45,0.99,0.39,MID,Arsenal,ARS
21,204480,2.7,,Declan,3.6,Rice,,127,Rice,2023-07-15,1999-01-14,2823,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399.0,208.8,0,33,3.51,5.64,9.14,27.13,44,9,80,24,2.0,1.0,,0.11,0.0,0.18,0.29,0.86,0.92,79,1.05,0.35,MID,Arsenal,ARS
22,195384,2.6,,Mikel,3.3,Merino Zazón,,92,Merino,2024-08-27,1996-06-22,1575,7,2,4,17,0,0,0,2,1,0,8,326,456.8,265.8,511.0,123.3,0,17,5.75,1.18,6.93,15.71,136,137,58,99,,,,0.33,0.0,0.07,0.4,0.9,0.97,112,0.97,0.23,MID,Arsenal,ARS
23,438098,2.5,,Fábio,0.0,Ferreira Vieira,,0,Fábio Vieira,2022-06-21,2000-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,649,649,646,649,,,,0.0,0.0,0.0,0.0,0.0,0.0,649,0.0,0.0,MID,Arsenal,ARS
24,128295,2.5,,Christian,3.1,Nørgaard,,107,Nørgaard,2025-07-10,1994-03-10,2820,5,5,6,45,0,0,0,8,1,0,7,580,735.4,333.0,409.0,147.9,0,34,4.23,1.38,5.61,44.54,42,105,75,74,,,,0.14,0.0,0.04,0.18,1.42,1.44,127,1.09,0.19,MID,Arsenal,ARS
25,499175,2.5,,Ethan,2.5,Nwaneri,,66,Nwaneri,2022-09-17,2007-03-21,882,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255.0,83.0,0,11,1.19,1.78,2.97,5.38,203,130,115,161,4.0,3.0,,0.12,0.0,0.18,0.3,0.55,0.41,189,1.12,0.41,MID,Arsenal,ARS
26,481655,2.5,,Martín,0.0,Zubimendi Ibáñez,,0,Zubimendi,2025-07-06,1999-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,652,652,650,652,,,,0.0,0.0,0.0,0.0,0.0,0.0,652,0.0,0.0,MID,Arsenal,ARS
27,200641,2.0,,Reiss,2.2,Nelson,,27,Nelson,2017-07-12,1999-12-10,483,1,1,1,9,0,0,0,1,0,0,2,143,131.6,223.9,195.0,55.1,0,5,1.07,0.96,2.03,6.13,287,158,156,226,,,,0.2,0.0,0.18,0.38,1.14,1.68,220,0.93,0.19,MID,Arsenal,ARS
28,588796,1.5,,Ismeal,0.0,Kabia,,0,Kabia,2024-09-14,2005-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,580,576,560,580,,,,0.0,0.0,0.0,0.0,0.0,0.0,581,0.0,0.0,MID,Arsenal,ARS
29,437742,1.5,,Albert,0.0,Sambi Lokonga,,0,Sambi,2021-07-19,1999-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,507,503,483,507,,,,0.0,0.0,0.0,0.0,0.0,0.0,510,0.0,0.0,MID,Arsenal,ARS
30,219847,2.9,,Kai,4.2,Havertz,,97,Havertz,2023-06-28,1999-06-11,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,0,21,9.53,1.65,11.18,19.32,135,134,33,76,,,,0.46,0.0,0.08,0.54,0.93,0.96,35,1.01,0.34,FWD,Arsenal,ARS
31,205651,0.0,,Gabriel,2.5,Fernando de Jesus,,42,G.Jesus,2022-07-04,1997-04-03,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,0,6,3.05,0.52,3.57,5.82,278,220,116,233,,,,0.46,0.0,0.08,0.54,0.87,0.75,190,0.9,0.3,FWD,Arsenal,ARS
662,500040,3.8,,Cristhian,0.0,Mosquera,,0,Mosquera,2025-07-24,2004-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,654,654,652,654,,,,0.0,0.0,0.0,0.0,0.0,0.0,654,0.0,0.0,DEF,Arsenal,ARS
666,224117,3.3,,Viktor,0.0,Gyökeres,,0,Gyökeres,2025-07-26,1998-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,670,670,670,670,,,,0.0,0.0,0.0,0.0,0.0,0.0,670,0.0,0.0,FWD,Arsenal,ARS
32,98980,0.0,,Emiliano,3.0,Martínez Romero,,111,Martinez,2020-09-16,1992-09-02,3195,0,0,8,47,0,1,0,5,1,100,6,457,839.6,20.0,0.0,86.0,0,37,0.0,0.02,0.02,44.99,21,325,581,155,,,,0.0,2.82,0.0,0.0,1.27,1.32,133,1.04,0.23,GKP,Aston Villa,AVL
33,72147,1.8,,Marco,0.0,Bizot,,0,M.Bizot,2025-07-15,1991-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,488,481,458,488,,,,0.0,0.0,0.0,0.0,0.0,0.0,491,0.0,0.0,GKP,Aston Villa,AVL
34,462492,0.5,,Joe,0.0,Gauci,,0,Gauci,2024-02-01,2000-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,435,425,394,435,,,,0.0,0.0,0.0,0.0,0.0,0.0,438,0.0,0.0,GKP,Aston Villa,AVL
35,462381,0.0,,Filip,0.0,Marschall,,0,Marschall,2021-12-13,2003-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,434,424,393,434,,,,0.0,0.0,0.0,0.0,0.0,0.0,437,0.0,0.0,GKP,Aston Villa,AVL
36,199796,1.4,,Matty,2.8,Cash,,76,Cash,2020-09-03,1997-08-07,2069,1,1,7,22,0,0,0,7,0,0,2,286,359.2,181.0,171.0,71.3,0,24,0.48,1.23,1.71,28.64,173,185,170,191,,,,0.02,0.0,0.05,0.07,1.25,0.96,153,1.04,0.3,DEF,Aston Villa,AVL
37,101188,1.4,,Lucas,2.8,Digne,,89,Digne,2022-01-13,1993-07-20,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112.0,120.7,0,28,0.8,3.97,4.77,34.94,122,52,213,103,7.0,2.0,,0.03,0.0,0.15,0.18,1.34,1.38,150,1.07,0.23,DEF,Aston Villa,AVL
38,199798,1.4,,Ezri,3.0,Konsa Ngoyo,,103,Konsa,2019-07-11,1997-10-23,2936,2,0,8,45,0,0,0,1,0,0,10,448,532.8,123.9,166.0,82.4,0,33,1.29,0.61,1.9,43.82,112,217,172,163,,,,0.04,0.0,0.02,0.06,1.34,1.38,130,1.01,0.25,DEF,Aston Villa,AVL
39,441302,1.4,,Ian,2.0,Maatsen,,57,Maatsen,2024-06-28,2002-03-10,1125,1,2,3,16,0,0,0,2,0,0,0,204,252.0,293.4,197.0,74.3,0,10,0.87,2.43,3.3,17.31,223,125,153,187,,,,0.07,0.0,0.19,0.26,1.38,1.28,242,0.8,0.24,DEF,Aston Villa,AVL
40,149484,1.4,,Tyrone,3.4,Mings,,47,Mings,2019-07-08,1993-03-13,1119,0,1,4,11,0,0,0,1,0,0,5,207,220.4,49.2,74.0,34.6,0,12,0.88,0.23,1.11,13.2,233,279,242,272,,,,0.07,0.0,0.02,0.09,1.06,0.88,95,0.97,0.32,DEF,Aston Villa,AVL
41,244954,1.4,,Pau,2.3,Torres,,55,Pau,2023-07-12,1997-01-16,2019,0,0,5,33,0,0,0,2,0,0,3,254,350.6,84.5,102.0,54.0,0,23,0.51,0.43,0.94,29.69,181,247,218,232,,,,0.02,0.0,0.02,0.04,1.32,1.47,205,1.03,0.22,DEF,Aston Villa,AVL
42,606798,0.5,,Andrés,1.1,García,,8,A.García,2025-01-21,2003-02-07,316,0,0,0,5,0,0,0,0,0,0,0,26,45.6,68.4,7.0,12.0,0,5,0.04,0.49,0.53,6.49,333,262,326,323,,,,0.01,0.0,0.14,0.15,1.85,1.42,332,1.42,0.0,DEF,Aston Villa,AVL
43,106468,0.5,,Álex,2.3,Moreno Lopera,,34,Alex Moreno,2023-01-11,1993-06-08,952,0,1,3,16,0,0,0,2,0,0,1,126,200.8,134.5,29.0,36.4,0,11,0.17,1.1,1.27,13.94,250,211,290,266,,,,0.02,0.0,0.1,0.12,1.32,1.51,203,1.04,0.28,DEF,Aston Villa,AVL
44,515597,0.5,,Lamare,0.8,Bogarde,,6,Bogarde,2021-01-07,2004-01-05,473,0,0,0,11,0,0,0,2,0,0,0,22,84.8,33.3,15.0,13.3,0,5,0.04,0.13,0.17,9.28,311,303,310,319,,,,0.01,0.0,0.02,0.03,1.77,2.09,383,0.95,0.0,DEF,Aston Villa,AVL
45,514315,0.5,,Lino,0.0,da Cruz Sousa,,0,Sousa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,456,446,419,456,,,,0.0,0.0,0.0,0.0,0.0,0.0,460,0.0,0.0,DEF,Aston Villa,AVL
46,587178,0.5,,Yasin,0.0,Özcan,,0,Yasin,2025-06-01,2006-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,477,468,444,477,,,,0.0,0.0,0.0,0.0,0.0,0.0,480,0.0,0.0,DEF,Aston Villa,AVL
47,244850,1.8,,Morgan,4.4,Rogers,,161,Rogers,2024-02-01,2002-07-26,3115,8,11,10,40,0,0,0,10,0,0,15,534,731.6,722.7,689.0,214.3,0,37,6.49,5.24,11.73,43.7,45,32,38,19,,,,0.19,0.0,0.15,0.34,1.26,1.16,26,1.07,0.29,MID,Aston Villa,AVL
48,166989,1.6,,Youri,3.4,Tielemans,,121,Tielemans,2023-06-14,1997-05-07,3025,3,7,7,46,0,0,1,4,0,0,15,686,799.6,963.1,333.0,209.6,0,35,3.31,5.83,9.14,43.87,29,8,93,23,3.0,,4.0,0.1,0.0,0.17,0.27,1.31,1.37,101,1.04,0.21,MID,Aston Villa,AVL
49,215711,1.5,,Leon,2.0,Bailey,,47,Bailey,2021-08-04,1997-08-09,1132,1,2,2,19,0,0,0,3,0,0,2,174,146.4,235.8,325.0,70.3,0,14,1.73,2.92,4.65,13.91,280,154,94,194,8.0,4.0,,0.14,0.0,0.23,0.37,1.11,1.51,251,1.11,0.16,MID,Aston Villa,AVL
50,195546,1.5,,Emiliano,0.9,Buendía Stati,,11,Buendía,2021-06-10,1996-12-25,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,0,0,0.65,0.03,0.68,2.27,357,320,309,355,,,,0.66,0.0,0.03,0.69,2.3,2.02,381,0.0,0.0,MID,Aston Villa,AVL
51,469247,1.5,,Samuel,0.0,Iling-Junior,,0,Iling Jr,2024-07-01,2003-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,651,651,648,651,,,,0.0,0.0,0.0,0.0,0.0,0.0,651,0.0,0.0,MID,Aston Villa,AVL
52,232653,1.5,,Jacob,2.3,Ramsey,,66,J.Ramsey,2019-02-12,2001-05-28,1616,1,4,5,26,0,0,0,2,1,0,3,265,235.4,307.9,245.0,78.7,0,19,1.59,2.18,3.77,23.99,228,120,120,172,,,,0.09,0.0,0.12,0.21,1.34,1.45,211,1.06,0.28,MID,Aston Villa,AVL
53,204646,1.5,,Donyell,2.4,Malen,,34,Malen,2025-01-14,1999-01-19,296,3,0,0,6,0,0,0,0,0,0,3,112,138.2,42.7,208.0,38.5,0,2,2.15,0.15,2.3,4.77,284,288,143,262,,,,0.65,0.0,0.05,0.7,1.45,1.82,196,0.61,0.0,MID,Aston Villa,AVL
54,122806,1.5,,John,2.3,McGinn,,78,McGinn,2018-08-08,1994-10-18,2217,1,4,8,34,0,0,0,7,0,0,1,360,277.2,500.6,263.0,103.7,0,27,3.1,2.7,5.8,35.03,210,70,114,127,6.0,6.0,,0.13,0.0,0.11,0.24,1.42,1.38,209,1.1,0.32,MID,Aston Villa,AVL
55,88894,1.0,,Ross,2.2,Barkley,,44,Barkley,2024-07-01,1993-12-05,567,3,1,1,10,0,0,0,3,0,0,5,166,215.4,128.1,206.0,54.8,0,3,1.79,0.43,2.22,6.32,238,215,146,228,,,,0.28,0.0,0.07,0.35,1.0,1.59,219,0.48,0.16,MID,Aston Villa,AVL
56,491287,0.0,,Enzo,0.0,Barrenechea,,0,Barrenechea,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,624,623,616,624,,,,0.0,0.0,0.0,0.0,0.0,0.0,624,0.0,0.0,MID,Aston Villa,AVL
57,461421,1.0,,Lewis,0.0,Dobbin,,0,Dobbin,2024-06-23,2003-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,617,615,608,617,,,,0.0,0.0,0.0,0.0,0.0,0.0,617,0.0,0.0,MID,Aston Villa,AVL
58,226944,1.0,,Boubacar,2.2,Kamara,,57,Kamara,2022-06-11,1999-11-23,1720,1,0,6,22,0,0,0,2,0,0,3,296,326.6,191.0,83.0,60.2,0,20,0.82,0.83,1.65,23.03,194,180,237,220,,,,0.04,0.0,0.04,0.08,1.21,1.15,222,1.05,0.31,MID,Aston Villa,AVL
59,449871,1.0,,Amadou,2.5,Onana,,65,Onana,2024-07-22,2001-08-16,1613,3,0,6,23,0,0,0,4,0,0,5,324,358.0,194.8,215.0,77.0,0,20,2.12,0.84,2.96,23.66,174,178,141,177,,,,0.12,0.0,0.05,0.17,1.32,1.28,184,1.12,0.33,MID,Aston Villa,AVL
60,577731,0.5,,Ben,0.0,Broggio,,0,Broggio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,579,575,559,579,,,,0.0,0.0,0.0,0.0,0.0,0.0,580,0.0,0.0,MID,Aston Villa,AVL
61,151589,0.5,,Leander,0.0,Dendoncker,,0,Dendoncker,2022-09-01,1995-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,490,484,463,490,,,,0.0,0.0,0.0,0.0,0.0,0.0,493,0.0,0.0,MID,Aston Villa,AVL
62,559962,0.5,,Jamaldeen,0.0,Jimoh-Aloba,,0,Jimoh-Aloba,2024-09-23,2006-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,567,563,546,567,,,,0.0,0.0,0.0,0.0,0.0,0.0,568,0.0,0.0,MID,Aston Villa,AVL
63,537403,0.5,,Kadan,0.0,Young,,0,Young,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,555,551,534,555,,,,0.0,0.0,0.0,0.0,0.0,0.0,557,0.0,0.0,MID,Aston Villa,AVL
64,178301,2.3,,Ollie,4.9,Watkins,,186,Watkins,2020-09-09,1995-12-30,2593,16,8,10,40,0,0,0,2,0,0,32,631,766.0,345.2,1148.0,223.8,0,31,15.12,2.07,17.19,38.62,34,102,6,15,,,3.0,0.52,0.0,0.07,0.59,1.34,1.39,13,1.08,0.35,FWD,Aston Villa,AVL
65,576756,0.5,,Zépiqueno,0.0,Redmond,,0,Redmond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,577,573,557,577,,,,0.0,0.0,0.0,0.0,0.0,0.0,578,0.0,0.0,FWD,Aston Villa,AVL
183,518030,1.8,,Max,0.0,Weiß,,0,Weiss,2025-06-25,2004-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,546,542,524,546,,,,0.0,0.0,0.0,0.0,0.0,0.0,548,0.0,0.0,GKP,Burnley,BUR
184,489571,0.5,,Etienne,0.0,Green,,0,Green,2024-08-07,2000-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,447,437,407,447,,,,0.0,0.0,0.0,0.0,0.0,0.0,450,0.0,0.0,GKP,Burnley,BUR
185,51943,0.5,,Václav,0.0,Hladký,,0,Hladký,2024-07-19,1990-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,392,379,345,392,,,,0.0,0.0,0.0,0.0,0.0,0.0,396,0.0,0.0,GKP,Burnley,BUR
186,192290,1.4,,Connor,0.0,Roberts,,0,Roberts,2021-08-31,1995-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,494,488,467,494,,,,0.0,0.0,0.0,0.0,0.0,0.0,497,0.0,0.0,DEF,Burnley,BUR
187,58621,1.4,,Kyle,0.9,Walker,,13,Walker,2025-07-05,1990-05-28,966,0,0,0,21,0,0,0,3,0,0,0,63,157.4,147.7,29.0,33.5,0,9,0.12,1.34,1.46,19.26,272,204,292,276,,,,0.01,0.0,0.12,0.13,1.79,1.96,379,0.84,0.0,DEF,Burnley,BUR
188,247245,0.5,,Hannes,0.0,Delcroix,,0,Delcroix,2023-08-22,1999-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,420,410,378,420,,,,0.0,0.0,0.0,0.0,0.0,0.0,423,0.0,0.0,DEF,Burnley,BUR
189,461567,0.5,,Owen,0.0,Dodgson,,0,Dodgson,2021-08-20,2003-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,433,423,392,433,,,,0.0,0.0,0.0,0.0,0.0,0.0,436,0.0,0.0,DEF,Burnley,BUR
190,478969,0.5,,Hjalmar,0.0,Ekdal,,0,Ekdal,2023-01-21,1998-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,445,435,404,445,,,,0.0,0.0,0.0,0.0,0.0,0.0,448,0.0,0.0,DEF,Burnley,BUR
191,477717,0.5,,Maxime,0.0,Estève,,0,Estève,2024-06-14,2002-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,444,434,403,444,,,,0.0,0.0,0.0,0.0,0.0,0.0,447,0.0,0.0,DEF,Burnley,BUR
192,494960,0.5,,Quilindschy,0.0,Hartman,,0,Hartman,2025-06-26,2001-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,452,442,412,452,,,,0.0,0.0,0.0,0.0,0.0,0.0,455,0.0,0.0,DEF,Burnley,BUR
193,461188,0.5,,Bashir,0.0,Humphreys,,0,Humphreys,2025-07-01,2003-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,430,420,389,430,,,,0.0,0.0,0.0,0.0,0.0,0.0,433,0.0,0.0,DEF,Burnley,BUR
194,241231,0.5,,Jordan,0.0,Beyer,,0,Jordan,2023-07-01,2000-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,418,408,376,418,,,,0.0,0.0,0.0,0.0,0.0,0.0,421,0.0,0.0,DEF,Burnley,BUR
