id,assists,birth_date,bonus,bps,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,ep_next,ep_this,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,influence,influence_rank,minutes,own_goals,penalties_missed,penalties_order,penalties_saved,points_per_game,points_per_game_rank,red_cards,saves,saves_per_90,second_name,squad_number,starts,starts_per_90,team_join_date,threat,threat_rank,total_points,web_name,yellow_cards,position,team_name,team_short_name
25,1,1996-12-15,2,141,4,0.69,206325,,92.8,309,,2.2,2.5,0.52,0.09,1.17,0.2,0.65,3.21,0.56,0.11,Oleksandr,1,0.17,0,24.1,382,83.4,411,518,0,0,,0,2.7,185,0,0,0.0,Zinchenko,,5,0.87,2022-07-22,66.0,317,40,Zinchenko,1,DEF,Arsenal,ARS
73,0,1989-07-19,0,30,0,0.0,69752,,0.0,649,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,2.91,1.46,0.0,Norberto,2,1.0,0,7.8,460,77.8,417,180,0,0,,0,3.5,88,0,11,5.5,Murara Neto,,2,1.0,2024-08-30,0.0,612,7,Neto,0,GKP,Arsenal,ARS
186,2,1994-12-08,0,64,1,0.18,103955,,125.5,271,3.0,1.8,2.3,0.48,0.09,1.91,0.35,1.43,4.33,0.8,0.26,Raheem,4,0.73,0,31.3,360,67.2,423,490,0,0,,0,1.5,393,0,0,0.0,Sterling,,7,1.29,2024-08-30,122.0,248,26,Sterling,1,MID,Arsenal,ARS
578,1,2002-05-19,1,142,1,0.09,466075,,118.2,277,,2.2,2.0,0.69,0.06,1.55,0.14,0.86,10.28,0.95,0.08,Riccardo,12,1.1,2,54.6,283,252.6,271,978,0,0,,0,2.1,286,0,0,0.0,Calafiori,,11,1.01,2024-07-29,176.0,201,39,Calafiori,4,DEF,Arsenal,ARS
597,0,2006-09-26,0,237,5,0.33,499169,,170.7,230,,3.5,3.3,0.51,0.03,0.67,0.04,0.16,16.65,1.1,0.01,Myles,16,1.06,1,40.0,324,176.0,333,1362,0,0,,0,1.6,369,2,0,0.0,Lewis-Skelly,,15,0.99,2022-12-04,57.0,327,37,Lewis-Skelly,3,MID,Arsenal,ARS
633,2,1996-06-22,8,326,4,0.23,195384,,265.8,164,,3.2,3.3,1.18,0.07,6.93,0.4,5.75,15.71,0.9,0.33,Mikel,17,0.97,7,123.3,108,456.8,157,1575,0,0,,0,3.3,118,1,0,0.0,Merino,,17,0.97,2024-08-27,511.0,61,92,Merino,2,MID,Arsenal,ARS
638,0,2003-08-20,0,0,0,0.0,498046,,0.0,719,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salah-Eddine,0,0.0,0,0.0,722,0.0,722,0,0,0,,0,0.0,727,0,0,0.0,Oulad M'hand,,0,0.0,2021-10-25,0.0,700,0,Oulad M'hand,0,MID,Arsenal,ARS
639,0,2006-03-13,0,0,0,0.0,551221,,0.0,744,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy,0,0.0,0,0.0,748,0.0,748,0,0,0,,0,0.0,752,0,0,0.0,Setford,,0,0.0,2024-07-24,0.0,728,0,Setford,0,GKP,Arsenal,ARS
657,0,,0,0,0,0.0,588793,,0.0,633,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maldini,0,0.0,0,0.0,645,0.0,645,0,0,0,,0,0.0,652,0,0,0.0,Kacurri,,0,0.0,2024-09-14,0.0,594,0,Kacurri,0,DEF,Arsenal,ARS
659,0,2005-12-10,0,0,0,0.0,588796,,0.0,756,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ismeal,0,0.0,0,0.0,759,0.0,759,0,0,0,,0,0.0,762,0,0,0.0,Kabia,,0,0.0,2024-09-14,0.0,739,0,Kabia,0,MID,Arsenal,ARS
662,0,2006-07-26,0,0,0,0.0,499167,,0.0,608,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh,0,0.0,0,0.0,621,0.0,621,0,0,0,,0,0.0,628,0,0,0.0,Nichols,,0,0.0,2024-07-24,0.0,567,0,Nichols,0,DEF,Arsenal,ARS
665,0,2003-01-04,0,5,0,0.0,461025,,0.0,701,,1.5,1.5,0.0,0.0,0.07,1.05,0.07,0.04,0.6,1.05,Nathan,0,0.0,0,2.0,509,3.0,531,6,0,0,,0,1.0,492,0,0,0.0,Butler-Oyedeji,,0,0.0,2024-09-18,17.0,411,1,Butler-Oyedeji,0,FWD,Arsenal,ARS
735,0,1982-03-26,0,0,0,0.0,100051017,,0.0,547,,6.5,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mikel,0,0.0,0,0.0,569,0.0,569,0,0,0,,0,0.0,579,0,0,0.0,Arteta,,0,0.0,2019-12-22,0.0,498,104,Arteta,0,,Arsenal,ARS
756,0,2008-07-15,0,0,0,0.0,616059,,0.0,645,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack,0,0.0,0,0.0,657,0.0,657,0,0,0,,0,0.0,664,0,0,0.0,Porter,,0,0.0,2024-09-18,0.0,607,0,Porter,0,GKP,Arsenal,ARS
790,0,2004-10-01,0,0,0,0.0,538182,,0.0,737,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jimi,0,0.0,0,0.0,741,0.0,741,0,0,0,,0,0.0,745,0,0,0.0,Gower,,0,0.0,2024-07-24,0.0,721,0,Gower,0,MID,Arsenal,ARS
793,0,2003-09-23,0,0,0,0.0,514307,,0.0,722,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack,0,0.0,0,0.0,726,0.0,726,0,0,0,,0,0.0,730,0,0,0.0,Henry-Francis,,0,0.0,2021-07-12,0.0,704,0,Jack Henry-Francis,0,MID,Arsenal,ARS
801,0,2007-07-03,0,0,0,0.0,563324,,0.0,628,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brayden,0,0.0,0,0.0,640,0.0,640,0,0,0,,0,0.0,647,0,0,0.0,Clarke,,0,0.0,2025-05-02,0.0,589,0,Clarke,0,DEF,Arsenal,ARS
28,2,1997-08-09,2,174,2,0.16,215711,3.0,235.8,184,4.0,0.3,0.2,2.92,0.23,4.65,0.37,1.73,13.91,1.11,0.14,Leon,19,1.51,1,70.3,232,146.4,357,1132,0,0,,0,2.0,305,0,0,0.0,Bailey,,14,1.11,2021-08-04,325.0,104,47,Bailey,3,MID,Aston Villa,AVL
29,1,1993-12-05,5,166,1,0.16,88894,,128.1,268,,0.7,0.8,0.43,0.07,2.22,0.35,1.79,6.32,1.0,0.28,Ross,10,1.59,3,54.8,280,215.4,295,567,0,0,,0,2.2,262,0,0,0.0,Barkley,,3,0.48,2024-07-01,206.0,173,44,Barkley,3,MID,Aston Villa,AVL
30,0,,0,0,0,0.0,491287,,0.0,777,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Enzo,0,0.0,0,0.0,779,0.0,779,0,0,0,,0,0.0,779,0,0,0.0,Barrenechea,,0,0.0,,0.0,768,0,Barrenechea,0,MID,Aston Villa,AVL
31,0,,0,37,0,0.0,195546,,23.2,426,3.0,0.0,0.0,0.03,0.03,0.68,0.69,0.65,2.27,2.3,0.66,Emiliano,2,2.02,0,5.2,482,16.4,488,89,0,0,,0,0.9,533,0,0,0.0,Buendía Stati,,0,0.0,2021-06-10,16.0,415,11,Buendia,1,MID,Aston Villa,AVL
32,1,1997-08-07,2,286,7,0.3,199796,,181.0,221,,6.0,4.8,1.23,0.05,1.71,0.07,0.48,28.64,1.25,0.02,Matty,22,0.96,1,71.3,228,359.2,202,2069,0,0,,0,2.8,166,0,0,0.0,Cash,,24,1.04,2020-09-03,171.0,204,76,Cash,7,DEF,Aston Villa,AVL
33,0,,0,0,0,0.0,151589,,0.0,686,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leander,0,0.0,0,0.0,690,0.0,690,0,0,0,,0,0.0,695,0,0,0.0,Dendoncker,,0,0.0,,0.0,665,0,Dendoncker,0,MID,Aston Villa,AVL
34,0,,0,0,0,0.0,243557,,0.0,802,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moussa,0,0.0,0,0.0,802,0.0,802,0,0,0,,0,0.0,801,0,0,0.0,Diaby,,0,0.0,,0.0,802,0,Diaby,0,MID,Aston Villa,AVL
35,0,,1,69,2,0.22,165659,,9.2,469,,0.0,0.0,0.08,0.01,0.72,0.08,0.64,11.88,1.29,0.07,Diego Carlos,15,1.63,0,21.5,394,150.6,350,828,0,0,,0,2.1,269,0,0,0.0,Santos Silva,,8,0.87,2022-06-10,54.0,333,21,Diego Carlos,1,DEF,Aston Villa,AVL
36,5,1993-07-20,7,383,6,0.23,101188,2.0,583.9,57,2.0,2.7,2.0,3.97,0.15,4.77,0.18,0.8,34.94,1.34,0.03,Lucas,36,1.38,0,120.7,112,512.6,138,2348,0,0,,0,2.8,165,0,0,0.0,Digne,,28,1.07,2022-01-13,112.0,262,89,Digne,4,DEF,Aston Villa,AVL
37,0,,0,0,0,0.0,461421,,0.0,785,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lewis,0,0.0,0,0.0,786,0.0,786,0,0,0,,0,0.0,786,0,0,0.0,Dobbin,,0,0.0,,0.0,778,0,Dobbin,0,MID,Aston Villa,AVL
38,0,,9,222,2,0.29,476344,,68.9,337,,0.0,0.0,0.24,0.03,5.35,0.77,5.11,9.94,1.44,0.74,Jhon,14,2.03,7,67.5,241,273.8,256,622,0,0,,0,2.6,200,1,0,0.0,Durán,,4,0.58,2023-01-23,334.0,102,53,Duran,3,FWD,Aston Villa,AVL
39,0,,0,0,0,0.0,462492,,0.0,598,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joe,0,0.0,0,0.0,611,0.0,611,0,0,0,,0,0.0,618,0,0,0.0,Gauci,,0,0.0,2024-02-01,0.0,557,0,Gauci,0,GKP,Aston Villa,AVL
40,0,1995-07-16,0,0,0,0.0,123354,,0.0,556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kortney,0,0.0,0,0.0,576,0.0,576,0,0,0,,0,0.0,586,0,0,0.0,Hause,,0,0.0,2019-07-01,0.0,508,0,Hause,0,DEF,Aston Villa,AVL
41,0,,0,0,0,0.0,469247,,0.0,796,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samuel,0,0.0,0,0.0,796,0.0,796,0,0,0,,0,0.0,795,0,0,0.0,Iling-Junior,,0,0.0,,0.0,792,0,Iling Jr,0,MID,Aston Villa,AVL
42,0,1999-11-23,3,296,6,0.31,226944,,191.0,215,,5.3,4.5,0.83,0.04,1.65,0.08,0.82,23.03,1.21,0.04,Boubacar,22,1.15,1,60.2,267,326.6,228,1720,0,0,,0,2.2,259,0,0,0.0,Kamara,,20,1.05,2022-06-11,83.0,294,57,Kamara,2,MID,Aston Villa,AVL
43,0,,0,0,0,0.0,465390,,0.0,601,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kaine,0,0.0,0,0.0,614,0.0,614,0,0,0,,0,0.0,621,0,0,0.0,Kesler-Hayden,,0,0.0,,0.0,560,0,Kesler-Hayden,0,DEF,Aston Villa,AVL
44,0,1997-10-23,10,448,8,0.25,199798,,123.9,273,,8.7,6.8,0.61,0.02,1.9,0.06,1.29,43.82,1.34,0.04,Ezri,45,1.38,2,82.4,195,532.8,126,2936,0,0,,0,3.0,141,0,0,0.0,Konsa Ngoyo,,33,1.01,2019-07-11,166.0,206,103,Konsa,1,DEF,Aston Villa,AVL
45,2,2002-03-10,0,204,3,0.24,441302,,293.4,148,,4.3,3.5,2.43,0.19,3.3,0.26,0.87,17.31,1.38,0.07,Ian,16,1.28,1,74.3,222,252.0,272,1125,0,0,,0,2.0,295,0,0,0.0,Maatsen,,10,0.8,2024-06-28,197.0,179,57,Maatsen,2,DEF,Aston Villa,AVL
46,0,,0,0,0,0.0,462381,,0.0,597,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Filip,0,0.0,0,0.0,610,0.0,610,0,0,0,,0,0.0,617,0,0,0.0,Marschall,,0,0.0,,0.0,556,0,Marschall,0,GKP,Aston Villa,AVL
47,0,1992-09-02,6,457,8,0.23,98980,,20.0,433,,7.7,5.2,0.02,0.0,0.02,0.0,0.0,44.99,1.27,0.0,Emiliano,47,1.32,0,86.0,184,839.6,24,3195,0,0,,1,3.0,143,1,100,2.82,Martínez Romero,,37,1.04,2020-09-16,0.0,772,111,Martinez,5,GKP,Aston Villa,AVL
48,4,1994-10-18,1,360,8,0.32,122806,,500.6,75,,3.3,3.2,2.7,0.11,5.8,0.24,3.1,35.03,1.42,0.13,John,34,1.38,1,103.7,144,277.2,253,2217,0,0,,0,2.3,244,0,0,0.0,McGinn,,27,1.1,2018-08-08,263.0,129,78,McGinn,7,MID,Aston Villa,AVL
49,1,1993-03-13,5,207,4,0.32,149484,,49.2,363,,2.0,1.5,0.23,0.02,1.11,0.09,0.88,13.2,1.06,0.07,Tyrone,11,0.88,0,34.6,344,220.4,287,1119,0,0,,0,3.4,99,0,0,0.0,Mings,,12,0.97,2019-07-08,74.0,301,47,Mings,1,DEF,Aston Villa,AVL
50,0,,0,11,0,0.0,578545,,7.2,470,,0.0,0.0,0.02,0.01,0.02,0.01,0.0,2.23,1.66,0.0,Kosta,4,2.98,0,3.0,494,22.8,475,121,0,0,,0,1.0,462,0,0,0.0,Nedeljković,,0,0.0,2024-01-22,0.0,530,5,Nedeljkovic,0,DEF,Aston Villa,AVL
51,0,1990-01-08,0,23,1,0.4,111782,,0.0,685,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.5,2.2,0.0,Robin,6,2.4,0,5.9,475,59.2,431,225,0,0,,0,2.2,253,0,8,3.2,Olsen,,1,0.4,2022-06-10,0.0,662,9,Olsen,0,GKP,Aston Villa,AVL
52,0,1997-01-16,3,254,5,0.22,244954,,84.5,315,,4.7,3.5,0.43,0.02,0.94,0.04,0.51,29.69,1.32,0.02,Pau,33,1.47,0,54.0,285,350.6,213,2019,0,0,,0,2.3,235,0,0,0.0,Torres,,23,1.03,2023-07-12,102.0,271,55,Pau,2,DEF,Aston Villa,AVL
53,4,2001-05-28,3,265,5,0.28,232653,,307.9,141,,0.3,0.5,2.18,0.12,3.77,0.21,1.59,23.99,1.34,0.09,Jacob,26,1.45,1,78.7,206,235.4,278,1616,0,0,,0,2.3,246,1,0,0.0,Ramsey,,19,1.06,2019-02-12,245.0,139,66,Ramsey,2,MID,Aston Villa,AVL
54,11,2002-07-26,15,534,10,0.29,244850,,722.7,35,,5.0,4.0,5.24,0.15,11.73,0.34,6.49,43.7,1.26,0.19,Morgan,40,1.16,8,214.2,19,730.6,51,3115,0,0,,0,4.4,27,0,0,0.0,Rogers,,37,1.07,2024-02-01,689.0,39,161,Rogers,10,MID,Aston Villa,AVL
55,0,,0,0,0,0.0,248164,,0.0,588,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viljami,0,0.0,0,0.0,603,0.0,603,0,0,0,,0,0.0,610,0,0,0.0,Sinisalo,,0,0.0,,0.0,547,0,Sinisalo,0,GKP,Aston Villa,AVL
56,0,,0,0,0,0.0,514315,,0.0,613,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lino,0,0.0,0,0.0,626,0.0,626,0,0,0,,0,0.0,633,0,0,0.0,da Cruz Sousa,,0,0.0,,0.0,573,0,Sousa,0,DEF,Aston Villa,AVL
57,7,1997-05-07,15,686,7,0.21,166989,1.0,963.1,8,,2.8,2.2,5.83,0.17,9.14,0.27,3.31,43.87,1.31,0.1,Youri,46,1.37,3,209.6,23,799.6,34,3025,0,1,2.0,0,3.4,109,0,0,0.0,Tielemans,,35,1.04,2023-06-14,333.0,103,121,Tielemans,4,MID,Aston Villa,AVL
58,8,1995-12-30,32,631,10,0.35,178301,,345.2,118,,5.3,4.5,2.07,0.07,17.19,0.59,15.12,38.62,1.34,0.52,Ollie,40,1.39,16,223.8,15,766.0,40,2593,0,0,1.0,0,4.9,13,0,0,0.0,Watkins,,31,1.08,2020-09-09,1148.0,6,186,Watkins,2,FWD,Aston Villa,AVL
167,0,1998-03-11,0,133,3,0.32,220362,,75.6,328,,0.0,0.0,0.37,0.04,0.74,0.08,0.37,16.7,1.77,0.04,Axel,12,1.27,1,29.7,365,169.6,336,851,0,0,,0,2.5,203,0,0,0.0,Disasi,,9,0.95,2025-02-03,51.0,337,33,Disasi,3,DEF,Aston Villa,AVL
233,0,2001-08-16,5,324,6,0.33,449871,,194.8,213,,2.3,2.5,0.84,0.05,2.96,0.17,2.12,23.66,1.32,0.12,Amadou,23,1.28,3,77.0,211,358.0,203,1613,0,0,,0,2.5,210,0,0,0.0,Onana,,20,1.12,2024-07-22,215.0,165,65,Onana,4,MID,Aston Villa,AVL
385,4,1997-10-31,9,333,7,0.45,176297,,451.1,87,2.0,0.0,0.0,3.43,0.22,8.1,0.52,4.67,21.68,1.38,0.3,Marcus,15,0.95,6,122.1,110,398.4,181,1414,0,0,3.0,0,3.8,66,0,0,0.0,Rashford,,16,1.02,2025-02-02,369.0,91,95,Rashford,2,MID,Aston Villa,AVL
598,0,2004-01-05,0,22,0,0.0,515597,,33.3,396,,0.0,0.0,0.13,0.02,0.17,0.03,0.04,9.28,1.77,0.01,Lamare,11,2.09,0,13.3,425,84.8,410,473,0,0,,0,0.8,537,0,0,0.0,Bogarde,,5,0.95,2021-01-07,15.0,417,6,Bogarde,2,DEF,Aston Villa,AVL
640,0,,0,0,0,0.0,514287,,0.0,612,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sil,0,0.0,0,0.0,625,0.0,625,0,0,0,,0,0.0,632,0,0,0.0,Swinkels,,0,0.0,2021-01-07,0.0,572,0,Swinkels,0,DEF,Aston Villa,AVL
641,0,2004-06-28,0,0,0,0.0,516159,,0.0,614,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oliwier,0,0.0,0,0.0,627,0.0,627,0,0,0,,0,0.0,634,0,0,0.0,Zych,,0,0.0,2021-01-07,0.0,574,0,Zych,0,GKP,Aston Villa,AVL
656,0,2006-01-19,0,0,0,0.0,537403,,0.0,675,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kadan,0,0.0,0,0.0,680,0.0,680,0,0,0,,0,0.0,686,0,0,0.0,Young,,0,0.0,2022-12-10,0.0,651,0,Young,0,MID,Aston Villa,AVL
679,0,2007-01-29,0,0,0,0.0,577731,,0.0,755,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ben,0,0.0,0,0.0,758,0.0,758,0,0,0,,0,0.0,761,0,0,0.0,Broggio,,0,0.0,2024-09-23,0.0,738,0,Broggio,0,MID,Aston Villa,AVL
710,0,2006-10-02,0,0,0,0.0,559962,,0.0,748,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jamaldeen,0,0.0,0,0.0,752,0.0,752,0,0,0,,0,0.0,755,0,0,0.0,Jimoh,,0,0.0,2024-09-23,0.0,732,0,Jimoh,0,MID,Aston Villa,AVL
725,0,1999-01-19,3,112,0,0.0,204646,,42.7,375,,0.7,0.8,0.15,0.05,2.3,0.7,2.15,4.77,1.45,0.65,Donyell,6,1.82,3,38.5,331,138.2,362,296,0,0,,0,2.4,228,0,0,0.0,Malen,,2,0.61,2025-01-14,208.0,167,34,Malen,0,MID,Aston Villa,AVL
731,0,2003-02-07,0,26,0,0.0,606798,,68.4,340,,0.0,0.0,0.49,0.14,0.53,0.15,0.04,6.49,1.85,0.01,Andrés,5,1.42,0,12.0,431,45.6,443,316,0,0,,0,1.1,448,0,0,0.0,García,,5,1.42,2025-01-21,7.0,445,8,A. Garcia,0,DEF,Aston Villa,AVL
